h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
86264b6f7ffffff,729.0,,1627585.8815,2232.6280953360765
86264b707ffffff,431.0,,1984086.5696100001,4603.449117424594
86264b70fffffff,603.0,,2771598.9016,4596.349753897181
86264b717ffffff,680.0,,4567992.1589,6717.6355277941175
86264b71fffffff,525.0,,2171102.5388,4135.433407238095
86264b727ffffff,651.0,,5345175.3775,8210.714865591399
86264b72fffffff,397.0,,544619.6901,1371.838010327456
86264b737ffffff,371.0,,678850.8036,1829.7865326145552
86264b747ffffff,199.0,,823406.40286,4137.7206173869345
86264b74fffffff,642.0,,1365334.2136,2126.6888062305293
86264b757ffffff,150.0,,622161.3948,4147.742632
86264b75fffffff,723.0,,1152345.5359,1593.8389154910096
86264b767ffffff,317.0,,1152432.72281,3635.43445681388
86264b76fffffff,485.0,,1440401.64652,2969.9003021030926
86264b777ffffff,482.0,,779884.84095,1618.018342219917
86264b787ffffff,2917.0,,37745073.422299996,12939.689208878985
86264b78fffffff,1167.0,,1684244.6999,1443.2259639245929
86264b797ffffff,953.0,,2216772.4215,2326.099078174187
86264b79fffffff,4748.0,,76925797.8612,16201.726592502107
86264b7a7ffffff,2074.0,,88709678.9121,42772.265627820634
86264b7afffffff,862.0,,2268486.3658,2631.6547167053363
86264b7b7ffffff,672.0,,952502.4408,1417.4143464285714
86264b847ffffff,129.0,,210291.9958,1630.1705100775193
86264b84fffffff,325.0,,746564.9459,2297.1229104615386
86264b85fffffff,45.0,,64708.5321,1437.9673799999998
86264b86fffffff,208.0,,711799.9511,3422.1151495192307
86264b8c7ffffff,99.0,,990223.0004,10002.25252929293
86264b8cfffffff,108.0,,182384.8448,1688.748562962963
86264b8d7ffffff,417.0,,185190.10330000002,444.10096714628304
86264b8dfffffff,475.0,,1093100.5853,2301.264390105263
86264b8efffffff,112.0,,20452.742299999998,182.61377053571428
86264b8f7ffffff,22.0,,95594.1141,4345.187004545455
86264ba07ffffff,510.0,,2167907.4921,4250.799004117647
86264ba0fffffff,375.0,,2212094.66485,5898.919106266666
86264ba17ffffff,96.0,,124688.6686,1298.8402979166667
86264ba1fffffff,140.0,,587896.844,4199.263171428572
86264ba27ffffff,1199.0,,5139842.1341,4286.774090158466
86264ba2fffffff,1022.0,,1444854.053,1413.7515195694716
86264ba37ffffff,417.0,,289764.5769,694.879081294964
86264ba47ffffff,1546.0,,4794461.4569,3101.2040471539453
86264ba4fffffff,665.0,,1249599.8326,1879.0974926315791
86264ba57ffffff,5317.0,,169985260.7839,31970.14496593944
86264ba5fffffff,5981.0,,358505599.51559997,59940.745613710074
86264ba67ffffff,955.0,,1435931.3683,1503.5930558115183
86264ba6fffffff,611.0,,2620049.8154,4288.133904091654
86264ba77ffffff,970.0,,5704857.99275,5881.296899742269
86264ba87ffffff,44.0,,141317.07286,3211.7516559090905
86264ba8fffffff,83.0,,283095.48464,3410.788971566265
86264ba97ffffff,10.0,,211970.69,21197.069
86264ba9fffffff,108.0,,963959.46956,8925.550644074074
86264baa7ffffff,16.0,,44056.0037,2753.50023125
86264baafffffff,142.0,,1428996.2878,10063.35413943662
86264bab7ffffff,41.0,,237290.4649,5787.572314634146
86264bac7ffffff,254.0,,6136506.17,24159.47311023622
86264bacfffffff,250.0,,651096.6861,2604.3867444
86264bad7ffffff,200.0,,743097.612,3715.4880599999997
86264badfffffff,188.0,,745793.15663,3966.9848756914894
86264bae7ffffff,270.0,,653744.67707,2421.2765817407408
86264baefffffff,680.0,,7531151.3471,11075.222569264706
86264baf7ffffff,217.0,,1198101.2604,5521.203964976959
86264bb07ffffff,158.0,,234889.6648,1486.643448101266
86264bb0fffffff,5103.0,,179853770.1569,35244.71294471879
86264bb17ffffff,160.0,,292897.31220000004,1830.6082012500003
86264bb1fffffff,93.0,,3427965.4125,36859.84314516129
86264bb27ffffff,2188.0,,15006274.4092,6858.443514259598
86264bb2fffffff,11822.0,,1666890308.4745,140999.01103658433
86264bb37ffffff,1200.0,,6887157.0107,5739.297508916667
86264bb47ffffff,1173.0,,29384012.5153,25050.309049701616
86264bb4fffffff,776.0,,2398637.041,3091.027114690722
86264bb57ffffff,1819.0,,18947902.9681,10416.65913584387
86264bb5fffffff,1455.0,,2518626.8965,1731.0150491408933
86264bb67ffffff,2134.0,,152316325.6052,71375.97263598876
86264bb6fffffff,625.0,,6721017.1462,10753.62743392
86264bb77ffffff,17446.0,,1484641426.305,85099.24488736673
86264bb87ffffff,1637.0,,6100418.8224,3726.5844974954184
86264bb8fffffff,144.0,,99120.42576,688.33629
86264bb97ffffff,297.0,,786576.45813,2648.405582929293
86264bb9fffffff,58.0,,239377.90464,4127.205252413793
86264bba7ffffff,147.0,,1134608.7704,7718.42700952381
86264bbafffffff,548.0,,87984672.2322,160555.97122664232
86264bbb7ffffff,122.0,,251402.4352,2060.6756983606556
86264bc4fffffff,501.0,,829494.0239,1655.6766944111778
86264bc5fffffff,1539.0,,11950799.2938,7765.301685380117
86264bcc7ffffff,539.0,,1459790.9263,2708.3319597402597
86264bccfffffff,509.0,,3639648.1743,7150.585804125737
